id,Product Category ,Accessory Name,remark
,Honey Comb,honey comb top channel ,remark1
,Honey Comb,honey comb bottom channel ,remark2
,Honey Comb,honey comb ATR single ,remark3
,Honey Comb,honey comb ATR double,remark4
,Honey Comb,honey comb cap,remark5
,Honey Comb,honey comb control unit,remark6
,Honey Comb,honey comb iron rod ,remark7
,Honey Comb,honey comb chain,remark8
,Wooden,wooden double doori 50MM AND 35 MM ,remark9
,Wooden,top channel headrail normal,remark10
,Wooden,channel group ,remark11
,Wooden,ATR SET,remark12
,Wooden,LOCK ,remark13
,Wooden,TILTER,remark14
,Wooden,IRON ROD Wood,remark15
,Wooden,CHANNEL CAP,remark16
,Wooden,MOTERISED TUBE ,remark17
,Wooden,TUSSEL ,remark18
,Vertical,TRACK CHANNEL,remark19
,Vertical,CHANNEL LOCK ,remark20
,Vertical,RUNNER ,remark21
,Vertical,OVERLAPER,remark22
,Vertical,DRY UNIT,remark23
,Vertical,BELT ,remark24
,Vertical,JOINTER ,remark25
,Vertical,MOTAR ,remark26
,Vertical,REMOTE ,remark27
,Honey Comb,CONTROL UNIT + DOORI ,remark28
,Honey Comb,ATR,remark29
,Honey Comb,IRON ROD ,remark30
,Roller ,Roller End Cap White,remark31
,Roller ,New Roller End Cap White,remark32
,Roller , Heavy Roller End Cap White,remark33
,Roller ,Roller End Cap Brown,remark34
,Roller ,New RollerEnd  Cap Brown,remark35
,Roller ,Heavy Roller End Cap Brown,remark36
,Roller ,Zebra End Cap Brown,remark37
,Roller ,Zebra End Cap White,remark38
,Roller ,R TRACK CHANNEL,remark39
,Roller ,R CHANNEL LOCK ,remark40
,Roller ,R RUNNER ,remark41
,Roller ,R OVERLAPER,remark42
,Roller ,R DRY UNIT,remark43
,Roller ,R BELT ,remark44
,Roller ,R JOINTER ,remark45
,Roller ,R MOTAR ,remark46
